"titles","imdb_rate","filmweb_rate","genre","mean_act_rate","dir.rate","filmweb_votes","imdb_votes","directors","star1","star2","star3","star4","filmweb_rate_01","imdb_rate_01"
"Skazani Na Shawshank",9.3,8.77,"Drama",7.81030131393686,8.59,878386,2248084,"Frank Darabont","Tim Robbins","Morgan Freeman","Bob Gunton","William Sadler",0.877,0.93
"Ojciec Chrzestny",9.2,8.55,"Crime",8.05782128979223,8.73,516830,1551131,"Francis Ford Coppola","Marlon Brando","Al Pacino","James Caan","Diane Keaton",0.855,0.92
"Mroczny Rycerz",9,7.96,"Action",7.66130698095488,8.68,490479,2216226,"Christopher Nolan","Christian Bale","Heath Ledger","Aaron Eckhart","Michael Caine",0.796,0.9
"Ojciec Chrzestny Ii",9,7.89,"Crime",8.21132123807226,8.73,170929,1084208,"Francis Ford Coppola","Al Pacino","Robert De Niro","Robert Duvall","Diane Keaton",0.789,0.9
"Władca Pierścieni: Powrót Króla",8.9,8.35,"Adventure",8.12390556672413,8.48,500396,1588034,"Peter Jackson","Elijah Wood","Viggo Mortensen","Ian McKellen","Orlando Bloom",0.835,0.89
"Pulp Fiction",8.9,8.26,"Crime",8.02628870711352,8.88,636879,1760274,"Quentin Tarantino","John Travolta","Uma Thurman","Samuel L. Jackson","Bruce Willis",0.826,0.89
"Lista Schindlera",8.9,8.33,"Biography",7.79651231679816,8.11,351371,1168296,"Steven Spielberg","Liam Neeson","Ralph Fiennes","Ben Kingsley","Caroline Goodall",0.833,0.89
"Dwunastu Gniewnych Ludzi",8.9,7.74,"Drama",7.64228994242945,8.23,47926,658047,"Sidney Lumet","Henry Fonda","Lee J. Cobb","Martin Balsam","John Fiedler",0.774,0.89
"Incepcja",8.8,8.26,"Thriller",7.98446169409946,8.68,582680,1970894,"Christopher Nolan","Leonardo DiCaprio","Joseph Gordon-Levitt","Ellen Page","Ken Watanabe",0.826,0.88
"Podziemny Krąg",8.8,8.26,"Thriller",7.79104428420433,8.68,586116,1787646,"David Fincher","Brad Pitt","Edward Norton","Meat Loaf","Zach Grenier",0.826,0.88
"Władca Pierścieni: Drużyna Pierścienia",8.8,7.97,"Adventure",8.0371522072986,8.48,699604,1601668,"Peter Jackson","Elijah Wood","Ian McKellen","Orlando Bloom","Sean Bean",0.797,0.88
"Forrest Gump",8.8,8.47,"Drama",8.01249864329111,8.21,952300,1733282,"Robert Zemeckis","Tom Hanks","Robin Wright","Gary Sinise","Sally Field",0.847,0.88
"Dobry, Zły I Brzydki",8.8,8,"Western",8.1501213544978,8.7,97401,663968,"Sergio Leone","Clint Eastwood","Eli Wallach","Lee Van Cleef","Aldo Giuffrè",0.8,0.88
"Władca Pierścieni: Dwie Wieże",8.7,8.25,"Adventure",8.12390556672413,8.48,481658,1434729,"Peter Jackson","Elijah Wood","Ian McKellen","Viggo Mortensen","Orlando Bloom",0.825,0.87
"Matrix",8.7,7.48,"Sci-Fi",7.74536514696857,7.86,800761,1612679,"Lana Wachowski","Keanu Reeves","Laurence Fishburne","Carrie-Anne Moss","Hugo Weaving",0.748,0.87
"Chłopcy Z Ferajny",8.7,8.22,"Biography",7.9457361746296,8.59,287196,978037,"Martin Scorsese","Robert De Niro","Ray Liotta","Joe Pesci","Lorraine Bracco",0.822,0.87
"Gwiezdne Wojny: Część V - Imperium Kontratakuje",8.7,8.03,"Sci-Fi",7.82346633473459,8.23,288051,1120787,"Irvin Kershner","Mark Hamill","Harrison Ford","Carrie Fisher","Billy Dee Williams",0.803,0.87
"Lot Nad Kukułczym Gniazdem",8.7,8.44,"Drama",7.82190375414544,8.6,381034,881562,"Milos Forman","Jack Nicholson","Louise Fletcher","Will Sampson","Michael Berryman",0.844,0.87
"Harakiri",8.7,7.06,"Action",7.10068169546436,8.69,11263,34655,"Masaki Kobayashi","Tatsuya Nakadai","Akira Ishihama","Shima Iwashita","Tetsurô Tanba",0.706,0.87
"Interstellar",8.6,7.85,"Sci-Fi",8.02967387107148,8.68,348607,1421801,"Christopher Nolan","Matthew McConaughey","Anne Hathaway","Jessica Chastain","Mackenzie Foy",0.785,0.86
"Miasto Boga",8.6,7.89,"Drama",6.9145993666782,7.65,165994,679717,"Fernando Meirelles","Alexandre Rodrigues","Leandro Firmino","Matheus Nachtergaele","Phellipe Haagensen",0.789,0.86
"Spirited Away: W Krainie Bogów",8.6,7.94,"Animation",6.91430375180375,8.06,122459,613845,"Hayao Miyazaki","Daveigh Chase","Suzanne Pleshette","Miyu Irino","Rumi Hiiragi",0.794,0.86
